Date_Time (LST/LDT), Event, Speed (knots)
2022-09-08 12:13 AM, ebb, -1.59
2022-09-08 03:43 AM, slack, -
2022-09-08 06:57 AM, flood, 2.43
2022-09-08 10:19 AM, slack, -
2022-09-08 12:55 PM, ebb, -1.54
2022-09-08 04:25 PM, slack, -
2022-09-08 07:27 PM, flood, 2.10
2022-09-08 10:25 PM, slack, -
2022-09-09 01:13 AM, ebb, -1.72
2022-09-09 04:43 AM, slack, -
2022-09-09 07:57 AM, flood, 2.61
2022-09-09 11:13 AM, slack, -
2022-09-09 01:55 PM, ebb, -1.68
2022-09-09 05:25 PM, slack, -
2022-09-09 08:21 PM, flood, 2.30
2022-09-09 11:25 PM, slack, -
2022-09-10 02:07 AM, ebb, -1.85
2022-09-10 05:37 AM, slack, -
2022-09-10 08:45 AM, flood, 2.73
2022-09-10 12:01 PM, slack, -
2022-09-10 02:43 PM, ebb, -1.79
2022-09-10 06:13 PM, slack, -
2022-09-10 09:09 PM, flood, 2.45
2022-09-11 12:13 AM, slack, -
2022-09-11 03:01 AM, ebb, -1.93
2022-09-11 06:31 AM, slack, -
2022-09-11 09:33 AM, flood, 2.77
2022-09-11 12:49 PM, slack, -
2022-09-11 03:31 PM, ebb, -1.86
2022-09-11 07:01 PM, slack, -
2022-09-11 09:57 PM, flood, 2.53
2022-09-12 01:01 AM, slack, -
2022-09-12 03:49 AM, ebb, -1.95
2022-09-12 07:19 AM, slack, -
2022-09-12 10:15 AM, flood, 2.72
2022-09-12 01:31 PM, slack, -
2022-09-12 04:13 PM, ebb, -1.86
2022-09-12 07:43 PM, slack, -
2022-09-12 10:39 PM, flood, 2.54
2022-09-13 01:49 AM, slack, -
2022-09-13 04:31 AM, ebb, -1.91
2022-09-13 08:01 AM, slack, -
2022-09-13 11:03 AM, flood, 2.60
2022-09-13 02:19 PM, slack, -
2022-09-13 04:55 PM, ebb, -1.82
2022-09-13 08:25 PM, slack, -
2022-09-13 11:27 PM, flood, 2.49
2022-09-14 02:37 AM, slack, -
2022-09-14 05:19 AM, ebb, -1.81
2022-09-14 08:49 AM, slack, -
2022-09-14 11:45 AM, flood, 2.42
2022-09-14 03:01 PM, slack, -
2022-09-14 05:37 PM, ebb, -1.74
2022-09-14 09:13 PM, slack, -
