Date_Time (LST/LDT), Event, Speed (knots)
2022-07-28 02:37 AM, ebb, -1.70
2022-07-28 06:01 AM, slack, -
2022-07-28 09:09 AM, flood, 2.61
2022-07-28 12:25 PM, slack, -
2022-07-28 03:07 PM, ebb, -1.61
2022-07-28 06:31 PM, slack, -
2022-07-28 09:27 PM, flood, 2.16
2022-07-29 12:25 AM, slack, -
2022-07-29 03:07 AM, ebb, -1.75
2022-07-29 06:37 AM, slack, -
2022-07-29 09:45 AM, flood, 2.62
2022-07-29 01:01 PM, slack, -
2022-07-29 03:43 PM, ebb, -1.67
2022-07-29 07:07 PM, slack, -
2022-07-29 09:57 PM, flood, 2.17
2022-07-30 01:01 AM, slack, -
2022-07-30 03:43 AM, ebb, -1.80
2022-07-30 07:13 AM, slack, -
2022-07-30 10:15 AM, flood, 2.63
2022-07-30 01:37 PM, slack, -
2022-07-30 04:13 PM, ebb, -1.73
2022-07-30 07:43 PM, slack, -
2022-07-30 10:27 PM, flood, 2.20
2022-07-31 01:43 AM, slack, -
2022-07-31 04:19 AM, ebb, -1.85
2022-07-31 07:49 AM, slack, -
2022-07-31 10:45 AM, flood, 2.64
2022-07-31 02:13 PM, slack, -
2022-07-31 04:49 PM, ebb, -1.79
2022-07-31 08:19 PM, slack, -
2022-07-31 11:03 PM, flood, 2.24
2022-08-01 02:19 AM, slack, -
2022-08-01 04:55 AM, ebb, -1.89
2022-08-01 08:25 AM, slack, -
2022-08-01 11:21 AM, flood, 2.63
2022-08-01 02:55 PM, slack, -
2022-08-01 05:25 PM, ebb, -1.83
2022-08-01 08:55 PM, slack, -
2022-08-01 11:33 PM, flood, 2.28
2022-08-02 03:01 AM, slack, -
2022-08-02 05:37 AM, ebb, -1.90
2022-08-02 09:07 AM, slack, -
2022-08-02 11:57 AM, flood, 2.60
2022-08-02 03:31 PM, slack, -
2022-08-02 06:01 PM, ebb, -1.85
2022-08-02 09:37 PM, slack, -
2022-08-03 12:15 AM, flood, 2.30
2022-08-03 03:43 AM, slack, -
2022-08-03 06:19 AM, ebb, -1.88
2022-08-03 09:49 AM, slack, -
2022-08-03 12:33 PM, flood, 2.52
2022-08-03 04:13 PM, slack, -
2022-08-03 06:49 PM, ebb, -1.84
2022-08-03 10:19 PM, slack, -
