Date_Time (LST/LDT), Event, Speed (knots)
2022-07-21 12:07 AM, slack, -
2022-07-21 03:15 AM, flood, 2.19
2022-07-21 06:19 AM, slack, -
2022-07-21 09:01 AM, ebb, -1.50
2022-07-21 12:31 PM, slack, -
2022-07-21 03:39 PM, flood, 2.25
2022-07-21 06:49 PM, slack, -
2022-07-21 09:37 PM, ebb, -1.56
2022-07-22 01:07 AM, slack, -
2022-07-22 04:15 AM, flood, 2.23
2022-07-22 07:25 AM, slack, -
2022-07-22 10:07 AM, ebb, -1.44
2022-07-22 01:31 PM, slack, -
2022-07-22 04:39 PM, flood, 2.17
2022-07-22 07:43 PM, slack, -
2022-07-22 10:37 PM, ebb, -1.54
2022-07-23 02:07 AM, slack, -
2022-07-23 05:15 AM, flood, 2.29
2022-07-23 08:25 AM, slack, -
2022-07-23 11:13 AM, ebb, -1.41
2022-07-23 02:31 PM, slack, -
2022-07-23 05:39 PM, flood, 2.13
2022-07-23 08:37 PM, slack, -
2022-07-23 11:37 PM, ebb, -1.55
2022-07-24 03:01 AM, slack, -
2022-07-24 06:09 AM, flood, 2.37
2022-07-24 09:19 AM, slack, -
2022-07-24 12:13 PM, ebb, -1.43
2022-07-24 03:31 PM, slack, -
2022-07-24 06:33 PM, flood, 2.13
2022-07-24 09:31 PM, slack, -
2022-07-25 12:25 AM, ebb, -1.58
2022-07-25 03:55 AM, slack, -
2022-07-25 07:03 AM, flood, 2.46
2022-07-25 10:13 AM, slack, -
2022-07-25 01:07 PM, ebb, -1.46
2022-07-25 04:25 PM, slack, -
2022-07-25 07:21 PM, flood, 2.13
2022-07-25 10:19 PM, slack, -
2022-07-26 01:13 AM, ebb, -1.62
2022-07-26 04:37 AM, slack, -
2022-07-26 07:51 AM, flood, 2.53
2022-07-26 11:01 AM, slack, -
2022-07-26 01:49 PM, ebb, -1.51
2022-07-26 05:13 PM, slack, -
2022-07-26 08:09 PM, flood, 2.14
2022-07-26 11:07 PM, slack, -
2022-07-27 01:55 AM, ebb, -1.66
2022-07-27 05:25 AM, slack, -
2022-07-27 08:33 AM, flood, 2.58
2022-07-27 11:43 AM, slack, -
2022-07-27 02:31 PM, ebb, -1.56
2022-07-27 05:55 PM, slack, -
2022-07-27 08:51 PM, flood, 2.15
2022-07-27 11:49 PM, slack, -
