Date_Time (LST/LDT), Event, Speed (knots)
2022-09-01 03:13 AM, slack, -
2022-09-01 05:49 AM, ebb, -1.96
2022-09-01 09:13 AM, slack, -
2022-09-01 11:57 AM, flood, 2.51
2022-09-01 03:37 PM, slack, -
2022-09-01 06:13 PM, ebb, -1.91
2022-09-01 09:37 PM, slack, -
2022-09-02 12:21 AM, flood, 2.45
2022-09-02 04:01 AM, slack, -
2022-09-02 06:37 AM, ebb, -1.85
2022-09-02 10:01 AM, slack, -
2022-09-02 12:45 PM, flood, 2.34
2022-09-02 04:19 PM, slack, -
2022-09-02 07:01 PM, ebb, -1.82
2022-09-02 10:25 PM, slack, -
2022-09-03 01:09 AM, flood, 2.35
2022-09-03 04:55 AM, slack, -
2022-09-03 07:25 AM, ebb, -1.70
2022-09-03 10:55 AM, slack, -
2022-09-03 01:33 PM, flood, 2.13
2022-09-03 05:13 PM, slack, -
2022-09-03 07:49 PM, ebb, -1.70
2022-09-03 11:19 PM, slack, -
2022-09-04 02:09 AM, flood, 2.23
2022-09-04 05:55 AM, slack, -
2022-09-04 08:25 AM, ebb, -1.53
2022-09-04 11:55 AM, slack, -
2022-09-04 02:33 PM, flood, 1.92
2022-09-04 06:13 PM, slack, -
2022-09-04 08:49 PM, ebb, -1.58
2022-09-05 12:19 AM, slack, -
2022-09-05 03:15 AM, flood, 2.13
2022-09-05 07:01 AM, slack, -
2022-09-05 09:31 AM, ebb, -1.41
2022-09-05 01:01 PM, slack, -
2022-09-05 03:45 PM, flood, 1.77
2022-09-05 07:19 PM, slack, -
2022-09-05 09:55 PM, ebb, -1.50
2022-09-06 01:31 AM, slack, -
2022-09-06 04:33 AM, flood, 2.12
2022-09-06 08:13 AM, slack, -
2022-09-06 10:37 AM, ebb, -1.36
2022-09-06 02:13 PM, slack, -
2022-09-06 05:09 PM, flood, 1.77
2022-09-06 08:25 PM, slack, -
2022-09-06 11:01 PM, ebb, -1.50
2022-09-07 02:37 AM, slack, -
2022-09-07 05:51 AM, flood, 2.24
2022-09-07 09:19 AM, slack, -
2022-09-07 11:49 AM, ebb, -1.42
2022-09-07 03:25 PM, slack, -
2022-09-07 06:21 PM, flood, 1.91
2022-09-07 09:31 PM, slack, -
