Date_Time (LST/LDT), Event, Speed (knots)
2022-07-07 02:27 AM, flood, 2.11
2022-07-07 06:01 AM, slack, -
2022-07-07 08:31 AM, ebb, -1.67
2022-07-07 12:01 PM, slack, -
2022-07-07 02:51 PM, flood, 2.31
2022-07-07 06:31 PM, slack, -
2022-07-07 09:01 PM, ebb, -1.72
2022-07-08 12:37 AM, slack, -
2022-07-08 03:21 AM, flood, 2.14
2022-07-08 06:55 AM, slack, -
2022-07-08 09:25 AM, ebb, -1.63
2022-07-08 12:55 PM, slack, -
2022-07-08 03:45 PM, flood, 2.22
2022-07-08 07:19 PM, slack, -
2022-07-08 09:55 PM, ebb, -1.72
2022-07-09 01:25 AM, slack, -
2022-07-09 04:15 AM, flood, 2.19
2022-07-09 07:49 AM, slack, -
2022-07-09 10:19 AM, ebb, -1.60
2022-07-09 01:49 PM, slack, -
2022-07-09 04:39 PM, flood, 2.15
2022-07-09 08:13 PM, slack, -
2022-07-09 10:49 PM, ebb, -1.73
2022-07-10 02:19 AM, slack, -
2022-07-10 05:15 AM, flood, 2.27
2022-07-10 08:49 AM, slack, -
2022-07-10 11:19 AM, ebb, -1.59
2022-07-10 02:49 PM, slack, -
2022-07-10 05:33 PM, flood, 2.11
2022-07-10 09:01 PM, slack, -
2022-07-10 11:37 PM, ebb, -1.76
2022-07-11 03:13 AM, slack, -
2022-07-11 06:09 AM, flood, 2.37
2022-07-11 09:43 AM, slack, -
2022-07-11 12:13 PM, ebb, -1.60
2022-07-11 03:43 PM, slack, -
2022-07-11 06:33 PM, flood, 2.10
2022-07-11 09:55 PM, slack, -
2022-07-12 12:31 AM, ebb, -1.80
2022-07-12 04:07 AM, slack, -
2022-07-12 07:03 AM, flood, 2.48
2022-07-12 10:43 AM, slack, -
2022-07-12 01:13 PM, ebb, -1.64
2022-07-12 04:43 PM, slack, -
2022-07-12 07:27 PM, flood, 2.12
2022-07-12 10:49 PM, slack, -
2022-07-13 01:31 AM, ebb, -1.86
2022-07-13 05:01 AM, slack, -
2022-07-13 08:03 AM, flood, 2.60
2022-07-13 11:37 AM, slack, -
2022-07-13 02:07 PM, ebb, -1.69
2022-07-13 05:37 PM, slack, -
2022-07-13 08:21 PM, flood, 2.15
2022-07-13 11:43 PM, slack, -
