Date_Time (LST/LDT), Event, Speed (knots)
2022-09-15 12:09 AM, flood, 2.39
2022-09-15 03:31 AM, slack, -
2022-09-15 06:07 AM, ebb, -1.67
2022-09-15 09:37 AM, slack, -
2022-09-15 12:33 PM, flood, 2.22
2022-09-15 03:49 PM, slack, -
2022-09-15 06:25 PM, ebb, -1.63
2022-09-15 10:01 PM, slack, -
2022-09-16 01:03 AM, flood, 2.26
2022-09-16 04:19 AM, slack, -
2022-09-16 06:55 AM, ebb, -1.51
2022-09-16 10:31 AM, slack, -
2022-09-16 01:27 PM, flood, 2.02
2022-09-16 04:43 PM, slack, -
2022-09-16 07:19 PM, ebb, -1.51
2022-09-16 10:49 PM, slack, -
2022-09-17 01:57 AM, flood, 2.15
2022-09-17 05:19 AM, slack, -
2022-09-17 07:49 AM, ebb, -1.37
2022-09-17 11:25 AM, slack, -
2022-09-17 02:27 PM, flood, 1.86
2022-09-17 05:37 PM, slack, -
2022-09-17 08:13 PM, ebb, -1.40
2022-09-17 11:49 PM, slack, -
2022-09-18 03:03 AM, flood, 2.09
2022-09-18 06:19 AM, slack, -
2022-09-18 08:55 AM, ebb, -1.28
2022-09-18 12:25 PM, slack, -
2022-09-18 03:33 PM, flood, 1.79
2022-09-18 06:31 PM, slack, -
2022-09-18 09:13 PM, ebb, -1.34
2022-09-19 12:49 AM, slack, -
2022-09-19 04:03 AM, flood, 2.11
2022-09-19 07:19 AM, slack, -
2022-09-19 10:01 AM, ebb, -1.27
2022-09-19 01:25 PM, slack, -
2022-09-19 04:33 PM, flood, 1.82
2022-09-19 07:31 PM, slack, -
2022-09-19 10:19 PM, ebb, -1.36
2022-09-20 01:43 AM, slack, -
2022-09-20 05:03 AM, flood, 2.20
2022-09-20 08:13 AM, slack, -
2022-09-20 11:01 AM, ebb, -1.34
2022-09-20 02:25 PM, slack, -
2022-09-20 05:27 PM, flood, 1.92
2022-09-20 08:25 PM, slack, -
2022-09-20 11:13 PM, ebb, -1.43
2022-09-21 02:43 AM, slack, -
2022-09-21 05:57 AM, flood, 2.34
2022-09-21 09:07 AM, slack, -
2022-09-21 11:55 AM, ebb, -1.46
2022-09-21 03:19 PM, slack, -
2022-09-21 06:21 PM, flood, 2.06
2022-09-21 09:19 PM, slack, -
