Date_Time (LST/LDT), Event, Speed (knots)
2022-08-25 01:25 AM, ebb, -1.66
2022-08-25 04:55 AM, slack, -
2022-08-25 08:03 AM, flood, 2.60
2022-08-25 11:13 AM, slack, -
2022-08-25 02:01 PM, ebb, -1.63
2022-08-25 05:25 PM, slack, -
2022-08-25 08:21 PM, flood, 2.24
2022-08-25 11:19 PM, slack, -
2022-08-26 02:07 AM, ebb, -1.75
2022-08-26 05:31 AM, slack, -
2022-08-26 08:39 AM, flood, 2.66
2022-08-26 11:55 AM, slack, -
2022-08-26 02:37 PM, ebb, -1.71
2022-08-26 06:01 PM, slack, -
2022-08-26 08:57 PM, flood, 2.30
2022-08-27 12:01 AM, slack, -
2022-08-27 02:43 AM, ebb, -1.83
2022-08-27 06:13 AM, slack, -
2022-08-27 09:15 AM, flood, 2.69
2022-08-27 12:31 PM, slack, -
2022-08-27 03:07 PM, ebb, -1.79
2022-08-27 06:37 PM, slack, -
2022-08-27 09:27 PM, flood, 2.35
2022-08-28 12:37 AM, slack, -
2022-08-28 03:13 AM, ebb, -1.91
2022-08-28 06:43 AM, slack, -
2022-08-28 09:45 AM, flood, 2.70
2022-08-28 01:07 PM, slack, -
2022-08-28 03:37 PM, ebb, -1.87
2022-08-28 07:13 PM, slack, -
2022-08-28 09:57 PM, flood, 2.41
2022-08-29 01:13 AM, slack, -
2022-08-29 03:49 AM, ebb, -1.97
2022-08-29 07:19 AM, slack, -
2022-08-29 10:15 AM, flood, 2.70
2022-08-29 01:43 PM, slack, -
2022-08-29 04:13 PM, ebb, -1.93
2022-08-29 07:43 PM, slack, -
2022-08-29 10:27 PM, flood, 2.46
2022-08-30 01:49 AM, slack, -
2022-08-30 04:25 AM, ebb, -2.01
2022-08-30 07:55 AM, slack, -
2022-08-30 10:45 AM, flood, 2.69
2022-08-30 02:19 PM, slack, -
2022-08-30 04:49 PM, ebb, -1.97
2022-08-30 08:19 PM, slack, -
2022-08-30 10:57 PM, flood, 2.50
2022-08-31 02:31 AM, slack, -
2022-08-31 05:07 AM, ebb, -2.01
2022-08-31 08:37 AM, slack, -
2022-08-31 11:15 AM, flood, 2.62
2022-08-31 02:55 PM, slack, -
2022-08-31 05:31 PM, ebb, -1.96
2022-08-31 08:55 PM, slack, -
2022-08-31 11:39 PM, flood, 2.50
